0 -10  -10  -10  17.3205
508  1.64061  0.798207  5.17557  5.48774
509  -0.187973  -0.892475  6.32712  6.39252
510  1.67738  -2.37124  4.95346  5.74223
511  4.00652  -4.34002  6.22508  8.58135
512  6.1887  -4.55393  3.47717  8.4338
513  6.1887  -4.55393  3.47717  8.4338
514  7.05095  -5.66324  2.62246  9.41623
515  6.81563  -3.67392  2.18318  8.04468
516  4.02113  -5.11661  4.17085  7.7295
517  5.18337  -2.62126  2.326  6.25688
518  5.18337  -2.62126  2.326  6.25688
519  6.47783  -4.21303  3.75635  8.59198
520  6.47783  -4.21303  3.75635  8.59198
521  6.47783  -4.21303  3.75635  8.59198
522  6.47783  -4.21303  3.75635  8.59198
523  5.7123  -6.29137  3.09946  9.04535
524  3.44647  -7.70821  4.00412  9.34492
525  3.44647  -7.70821  4.00412  9.34492
526  3.44647  -7.70821  4.00412  9.34492
527  1.25707  -6.80626  5.6941  8.9626
528  -0.411951  -7.59497  6.99454  10.3333
529  -0.411951  -7.59497  6.99454  10.3333
530  1.59352  -8.49324  7.06256  11.1604
531  1.59352  -8.49324  7.06256  11.1604
532  1.68458  -9.69266  5.00497  11.0379
533  2.5709  -9.66068  3.05762  10.4541
534  0.863939  -7.84898  5.94077  9.88158
535  3.71237  -5.62602  4.21789  7.95138
536  3.71237  -5.62602  4.21789  7.95138
537  2.46316  -8.18173  3.23008  9.13461
538  2.46316  -8.18173  3.23008  9.13461
539  -0.413415  -6.00583  3.19086  6.8134
540  -2.10153  -5.27817  4.03029  6.96554
541  -2.10153  -5.27817  4.03029  6.96554
542  -1.83229  -5.30947  6.95311  8.93831
543  -1.45618  -3.62835  5.86857  7.05163
544  0.395509  -2.28556  3.05891  3.8389
545  0.395509  -2.28556  3.05891  3.8389
546  0.395509  -2.28556  3.05891  3.8389
547  -1.09132  -1.23591  5.06218  5.32392
548  -1.09132  -1.23591  5.06218  5.32392
549  -1.09132  -1.23591  5.06218  5.32392
550  -1.09132  -1.23591  5.06218  5.32392
551  -1.09132  -1.23591  5.06218  5.32392
552  -1.09132  -1.23591  5.06218  5.32392
553  -1.9342  -3.83177  4.56012  6.26245
554  -4.17318  -2.51502  2.92191  5.6814
555  -3.26496  -0.126203  3.37315  4.69617
556  -3.26496  -0.126203  3.37315  4.69617
557  -3.26496  -0.126203  3.37315  4.69617
558  -3.26496  -0.126203  3.37315  4.69617
559  -0.800036  -0.304225  6.125  6.18452
560  -2.00086  0.0384276  3.28875  3.84977
561  -2.00086  0.0384276  3.28875  3.84977
562  0.447621  0.553832  2.47607  2.57643
563  0.447621  0.553832  2.47607  2.57643
564  0.447621  0.553832  2.47607  2.57643
565  0.447621  0.553832  2.47607  2.57643
566  0.447621  0.553832  2.47607  2.57643
567  0.447621  0.553832  2.47607  2.57643
568  0.447621  0.553832  2.47607  2.57643
569  0.447621  0.553832  2.47607  2.57643
570  0.447621  0.553832  2.47607  2.57643
571  0.447621  0.553832  2.47607  2.57643
572  -0.976237  0.652957  4.67564  4.8209
573  1.14318  1.40154  2.52609  3.10682
574  3.81685  0.447139  3.06927  4.9182
575  3.81685  0.447139  3.06927  4.9182
576  3.42879  0.337758  3.2155  4.71276
577  3.42879  0.337758  3.2155  4.71276
578  3.42879  0.337758  3.2155  4.71276
579  0.52707  1.48007  4.7218  4.97632
580  2.22574  0.421032  4.40321  4.95171
581  2.22574  0.421032  4.40321  4.95171
582  1.26074  0.834275  3.1364  3.48174
583  1.26074  0.834275  3.1364  3.48174
584  1.26074  0.834275  3.1364  3.48174
585  -0.578589  -0.545982  0.866196  1.17608
586  -0.578589  -0.545982  0.866196  1.17608
587  -0.578589  -0.545982  0.866196  1.17608
588  -0.578589  -0.545982  0.866196  1.17608
589  -0.578589  -0.545982  0.866196  1.17608
590  -0.578589  -0.545982  0.866196  1.17608
591  -0.878295  -1.81284  3.71028  4.22185
592  -0.878295  -1.81284  3.71028  4.22185
593  -0.589894  -1.64027  1.70394  2.43759
594  -0.589894  -1.64027  1.70394  2.43759
595  0.879601  -2.54949  4.52264  5.26573
596  0.879601  -2.54949  4.52264  5.26573
597  0.879601  -2.54949  4.52264  5.26573
598  0.879601  -2.54949  4.52264  5.26573
