0 0  0  5.5  5.5
400  -1.99737  -0.549437  3.71427  4.2529
401  -0.923964  -2.23064  2.22879  3.28587
402  -0.923964  -2.23064  2.22879  3.28587
403  -0.923964  -2.23064  2.22879  3.28587
404  -0.923964  -2.23064  2.22879  3.28587
405  0.998732  -0.721953  4.26639  4.44081
406  2.4846  -3.02821  7.0103  8.03042
407  0.621794  -4.12903  6.90279  8.06747
408  -2.05912  -5.20218  5.34241  7.73589
409  0.712933  -3.47843  5.83128  6.82727
410  -1.64587  -2.31886  7.02613  7.57975
411  -1.64587  -2.31886  7.02613  7.57975
412  -3.34563  -1.37623  6.75482  7.66256
413  -3.34563  -1.37623  6.75482  7.66256
414  -6.09237  -0.199546  5.86164  8.45669
415  -8.06101  -1.50771  5.916  10.112
416  -8.51619  0.748125  4.37555  9.60368
417  -6.89428  0.846932  4.25709  8.14685
418  -4.61724  3.45624  6.679  8.8246
419  -2.99419  4.98138  5.22233  7.81357
420  -2.99419  4.98138  5.22233  7.81357
421  -2.99419  4.98138  5.22233  7.81357
422  -1.42996  4.66977  5.81442  7.59335
423  -0.785306  4.39809  7.10479  8.39273
424  0.557962  3.64595  7.48571  8.34507
425  0.557962  3.64595  7.48571  8.34507
426  3.27961  3.1261  7.0637  8.39191
427  3.27961  3.1261  7.0637  8.39191
428  4.35245  1.71097  7.09783  8.50003
429  4.35245  1.71097  7.09783  8.50003
430  2.34643  1.49623  6.12785  6.73015
431  0.24537  -0.0965253  5.26437  5.27097
432  1.58612  1.20234  2.84239  3.46996
433  0.405974  1.61055  3.28289  3.67914
434  0.405974  1.61055  3.28289  3.67914
435  0.405974  1.61055  3.28289  3.67914
436  2.11376  0.614492  3.27372  3.94497
437  0.819156  1.52675  3.69256  4.07885
438  -1.14454  -0.879973  5.81654  5.99303
439  -0.89884  -1.29175  7.5675  7.7294
440  -2.09089  -1.18538  10.0187  10.303
441  -1.70762  -3.5903  9.41649  10.2214
442  -1.70762  -3.5903  9.41649  10.2214
443  -1.70762  -3.5903  9.41649  10.2214
444  0.0288959  -1.11523  8.22217  8.29751
445  -2.89811  -3.22786  6.98588  8.22317
446  -2.89811  -3.22786  6.98588  8.22317
447  -5.38919  -1.49717  7.54765  9.39425
448  -2.86447  -2.51588  8.74493  9.53985
449  -3.32137  -0.554008  6.19069  7.04721
450  -0.431166  -2.04585  3.44771  4.03214
451  1.61644  -1.60278  2.64731  3.49142
452  0.199827  -2.64658  0.436793  2.68981
453  -1.47605  -2.22939  2.34867  3.55881
454  -2.99412  -0.424398  3.56357  4.67374
455  -0.808186  1.49935  0.843533  1.90073
456  1.48962  0.135032  -1.13578  1.87809
457  1.48962  0.135032  -1.13578  1.87809
458  -0.758725  -1.88926  -2.19476  2.99365
459  -0.758725  -1.88926  -2.19476  2.99365
460  -1.34293  -0.647989  -1.95113  2.45566
461  -1.34293  -0.647989  -1.95113  2.45566
462  -1.34293  -0.647989  -1.95113  2.45566
463  -1.34293  -0.647989  -1.95113  2.45566
464  -1.34293  -0.647989  -1.95113  2.45566
465  -0.350816  -1.29058  -1.82937  2.26612
466  -0.350816  -1.29058  -1.82937  2.26612
467  -0.350816  -1.29058  -1.82937  2.26612
468  0.235207  -2.81377  -3.83298  4.76071
469  -0.598721  -0.320339  -0.934517  1.15516
470  -0.598721  -0.320339  -0.934517  1.15516
471  -1.33237  0.0611328  -1.36186  1.9062
472  -1.33237  0.0611328  -1.36186  1.9062
473  -1.10612  -0.926683  -2.5604  2.93903
474  -1.10612  -0.926683  -2.5604  2.93903
475  -1.10612  -0.926683  -2.5604  2.93903
476  -1.10612  -0.926683  -2.5604  2.93903
477  -3.86635  -3.24591  -1.38194  5.23396
478  -5.98984  -0.474335  1.55023  6.20536
479  -5.98984  -0.474335  1.55023  6.20536
480  -5.98984  -0.474335  1.55023  6.20536
481  -8.16617  -0.463151  2.23816  8.47999
482  -5.65829  0.400723  2.11925  6.05541
483  -5.65829  0.400723  2.11925  6.05541
484  -5.34354  -1.91953  4.58514  7.29805
485  -5.34354  -1.91953  4.58514  7.29805
486  -5.34354  -1.91953  4.58514  7.29805
487  -5.42093  -1.07133  6.11147  8.23919
488  -5.42093  -1.07133  6.11147  8.23919
489  -7.51231  0.780213  6.19665  9.76944
490  -8.219  -0.0526173  3.42827  8.90549
491  -7.99026  0.491778  2.31783  8.33417
492  -8.09146  -1.85222  4.50325  9.44361
493  -10.8553  -1.18865  6.81015  12.8697
494  -8.7754  -0.712802  9.44628  12.9131
495  -6.62391  -0.421081  8.89826  11.101
496  -4.10042  1.65958  9.67159  10.6352
497  -4.10042  1.65958  9.67159  10.6352
498  -4.10042  1.65958  9.67159  10.6352
499  -2.43956  0.803626  12.2351  12.5018
500  -0.294288  -1.8111  9.53921  9.71407
501  0.324809  -3.51066  9.19349  9.84635
502  -0.703889  -3.02967  8.55415  9.10208
503  -0.259545  -3.64016  7.16685  8.04251
504  1.7176  -1.8624  5.27033  5.84766
505  3.24825  -0.16834  4.74043  5.74901
506  3.24825  -0.16834  4.74043  5.74901
507  3.24825  -0.16834  4.74043  5.74901
508  3.24825  -0.16834  4.74043  5.74901
509  1.41966  -1.85902  5.89198  6.33931
510  3.28501  -3.33779  4.51831  6.50748
511  5.61415  -5.30657  5.78993  9.6541
512  5.61415  -5.30657  5.78993  9.6541
513  5.61415  -5.30657  5.78993  9.6541
514  6.47641  -6.41588  4.93522  10.3665
515  6.24109  -4.42656  4.49594  8.87463
516  3.44659  -5.86926  6.48361  9.40023
517  4.60882  -3.3739  4.63876  7.35816
518  4.60882  -3.3739  4.63876  7.35816
519  4.60882  -3.3739  4.63876  7.35816
520  4.60882  -3.3739  4.63876  7.35816
521  4.88164  -4.42206  2.2222  6.95149
522  4.88164  -4.42206  2.2222  6.95149
523  4.88164  -4.42206  2.2222  6.95149
524  2.61581  -5.8389  3.12686  7.12127
525  2.61581  -5.8389  3.12686  7.12127
526  2.61581  -5.8389  3.12686  7.12127
527  0.426412  -4.93695  4.81684  6.91066
528  -1.24261  -5.72566  6.11728  8.47044
529  -1.24261  -5.72566  6.11728  8.47044
530  0.762864  -6.62393  6.18529  9.09485
531  0.762864  -6.62393  6.18529  9.09485
532  0.853925  -7.82335  4.12771  8.88662
533  0.853925  -7.82335  4.12771  8.88662
534  -0.853037  -6.01165  7.01085  9.27468
535  1.99539  -3.78869  5.28797  6.80429
536  1.99539  -3.78869  5.28797  6.80429
537  0.746181  -6.3444  4.30016  7.70062
538  0.746181  -6.3444  4.30016  7.70062
539  -2.13039  -4.1685  4.26094  6.33013
540  -3.8185  -3.44084  5.10037  7.24114
541  -1.94789  -5.12143  5.07642  7.4695
542  -1.67865  -5.15273  7.99925  9.66211
543  -1.30254  -3.47161  6.91471  7.84614
544  0.54915  -2.12882  4.10505  4.6567
545  0.54915  -2.12882  4.10505  4.6567
546  -0.878912  -1.83544  1.43896  2.49237
547  -2.36574  -0.785787  3.44222  4.25007
548  -2.36574  -0.785787  3.44222  4.25007
549  -2.36574  -0.785787  3.44222  4.25007
550  -2.36574  -0.785787  3.44222  4.25007
551  -2.36574  -0.785787  3.44222  4.25007
552  -2.36574  -0.785787  3.44222  4.25007
553  -2.36574  -0.785787  3.44222  4.25007
554  -2.36574  -0.785787  3.44222  4.25007
555  -1.45752  1.60303  3.89346  4.45568
556  -1.45752  1.60303  3.89346  4.45568
557  -1.45752  1.60303  3.89346  4.45568
558  -1.45752  1.60303  3.89346  4.45568
559  1.0074  1.425  6.64531  6.87064
560  -0.193417  1.76766  3.80906  4.20368
561  -0.193417  1.76766  3.80906  4.20368
562  2.25506  2.28306  2.99638  4.39044
563  3.09152  -0.24478  2.48408  3.97342
564  2.14423  -1.15699  5.1306  5.67974
565  2.14423  -1.15699  5.1306  5.67974
566  0.603923  1.3498  3.19555  3.52111
567  -1.12765  -0.545267  3.03582  3.28407
568  -1.12765  -0.545267  3.03582  3.28407
569  -1.12765  -0.545267  3.03582  3.28407
570  -1.12765  -0.545267  3.03582  3.28407
571  -1.12765  -0.545267  3.03582  3.28407
572  -1.12765  -0.545267  3.03582  3.28407
573  0.991766  0.203311  0.886267  1.34551
574  3.66543  -0.751085  1.42944  4.00535
575  4.51003  -2.24874  3.01021  5.87014
576  4.12197  -2.35812  3.15645  5.70215
577  4.12197  -2.35812  3.15645  5.70215
578  4.12197  -2.35812  3.15645  5.70215
579  1.22025  -1.2158  4.66274  4.97075
580  2.91892  -2.27484  4.34415  5.70672
581  0.466527  0.489906  6.32985  6.36589
582  -0.498473  0.903149  5.06304  5.16706
583  0.643418  -1.10189  2.38354  2.70359
584  -1.19211  1.71609  2.21231  3.04309
585  -1.19211  1.71609  2.21231  3.04309
586  -1.19211  1.71609  2.21231  3.04309
587  -1.19211  1.71609  2.21231  3.04309
588  -1.19211  1.71609  2.21231  3.04309
589  -2.06305  0.33386  1.93638  2.84907
590  -2.06305  0.33386  1.93638  2.84907
